互联网娱乐,#genre#
粤语好声音,http://mmitv.top/test/bestv.php?id=229
B站聪明粤台,http://d0--cn-gotcha01.bilivideo.com/live-bvc/633052/live_15340525_7099411/index.m3u8#https://cn-hncs-cm-03-19.bilivideo.com/live-bvc/633052/live_15340525_7099411.m3u8#https://ip3714420955.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/633052/live_15340525_7099411.m3u8#https://cn-gddg-cmcc-v-06.bilivideo.com/live-bvc/633052/live_15340525_7099411.m3u8#https://ip4021081870.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/633052/live_15340525_7099411.m3u8#http://mmitv.top/test/bili.php?id=2056603#http://124.223.212.38:83/bili/2056603#http://106.53.212.251/daili/bili.php?id=2056603#http://epg.112114.xyz/bili/2056603#http://zzy789.xyz/bili.php?id=2056603#http://253iptv.ml/zhibo/bili.php?id=2056603#https://live.52sf.ga/bilibili/2056603#https://liveb.52sf.ga/bilibili/2056603
B站熊掌粤,http://d0--cn-gotcha01.bilivideo.com/live-bvc/323640/live_290741439_39784517/index.m3u8#https://cn-gddg-dx-bcache-14.bilivideo.com/live-bvc/323640/live_290741439_39784517.m3u8#https://ip3714420955.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/323640/live_290741439_39784517.m3u8#http://zzy789.xyz/bili.php?id=21113382#http://live.52sf.ga/bilibili/21113382
虎牙经典好歌,http://txtest-xp2p.p2p.huya.com/src/1199513611939-1199513611939-5230137819875246080-2399027347334-10057-A-0-1.xs#http://aldirect.flv.huya.com/huyalive/1199513611939-1199513611939-5230137819875246080-2399027347334-10057-A-0-1.flv#http://ws.hls.huya.com/src/1199513611939-1199513611939-5230137819875246080-2399027347334-10057-A-0-1.m3u8#http://al.flv.huya.com/src/1199513611939-1199513611939-5230137819875246080-2399027347334-10057-A-0-1.flv#http://epg.112114.xyz/huya/20616876#http://mmitv.top/pltv/huya.php?id=20616876#http://wtv.weetai.cn/iptv/2022/tyzb07.php?id=20616876#https://live.52sf.ga/huya/20616876#https://api.qianqi.net/tv/huya/?id=20616876#https://bd.jx.cn/?url=huya.com/20616876#https://liveb.52sf.ga/huya/20616876#http://qytv.win86.top/tv/huya.php?id=20616876
斗鱼华语歌MV,http://mmitv.top/test/douyu.php?id=3186217#http://qytv.win86.top/tv/dytv.php?id=3186217#http://diyp.112114.xyz/douyu/3186217#http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=3186217#http://epg.112114.xyz/douyu/3186217#https://live.52sf.ga/douyu/3186217#http://maomao.kandiantv.cn/douyu1.php?id=3186217#http://fangsong.live/hls/douyu.php?id=3186217#http://124.223.212.38:83/douyu/3186217#https://liveb.52sf.ga/douyu/3186217#http://hdltctwk.douyucdn2.cn/live/3186217rLUgujcmw.xs#http://ws-tct.douyucdn.cn/live/3186217rLUgujcmw.xs#http://183.204.192.119/ws-tct.douyucdn.cn/live/3186217rypIopfJQ.xs#http://hlsa-akm.douyucdn.cn/live/3186217rypIopfJQ.flv?uuid=#https://0569839b6a405e409510fe01b6c23940.v.smtcdns.net/akm-tct.douyucdn.cn/live/3186217rLUgujcmw.flv#http://akm-tct.douyucdn.cn/live/3186217rypIopfJQ.flv
B站自助点歌,http://d0--cn-gotcha01.bilivideo.com/live-bvc/594896/live_6515625_9284029/index.m3u8#https://ip3714420955.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/594896/live_6515625_9284029.m3u8#https://ip3722557046.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/594896/live_6515625_9284029.m3u8#https://ip3731198171.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/594896/live_6515625_9284029.m3u8#https://ip3747975387.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/594896/live_6515625_9284029.m3u8#https://ip4021081870.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/594896/live_6515625_9284029/index.m3u8#https://cn-gddg-dx-bcache-14.bilivideo.com/live-bvc/594896/live_6515625_9284029.m3u8#https://cn-gddg-dx-live-04.bilivideo.com/live-bvc/594896/live_6515625_9284029.m3u8#https://cn-gddg-ct-01-14.bilivideo.com/live-bvc/594896/live_6515625_9284029.m3u8#http://cn-gddg-cmcc-v-06.bilivideo.com/live-bvc/686131/live_6515625_9284029.m3u8#https://cn-hncs-cm-03-19.bilivideo.com/live-bvc/594896/live_6515625_9284029.m3u8#https://cn-hbwh-cm-01-20.bilivideo.com/live-bvc/594896/live_6515625_9284029.m3u8#https://cn-jxnc-cm-01-18.bilivideo.com/live-bvc/176193/live_6515625_9284029.m3u8#https://cn-jxnc-cm-01-16.bilivideo.com/live-bvc/594896/live_6515625_9284029.m3u8#http://fangsong.live/hls/bili.php?id=1026846#http://qytv.win86.top/tv/bilibili.php?id=1026846#http://106.53.212.251/daili/bili.php?id=1026846#http://124.223.212.38:83/bili/1026846#http://ye23.win/iptv/bilibili.php?id=1026846#http://zzy789.xyz/bili.php?id=1026846#http://epg.112114.xyz/bili/1026846#http://wtv.weetai.cn/iptv/2022/tyzb08.php?id=1026846#http://ikands.xyz/tv/bilibili?id=1026846&tv_time=1651029819#http://xeaazejl.usa6.20212021.tk/bili2.php?id=1026846#http://live.48tv.cn/bili2022.php?id=1026846
斗鱼音乐MV,http://diyp.112114.xyz/douyu/3870925#http://maomao.kandiantv.cn/douyu1.php?id=3870925#http://epg.112114.xyz/douyu/3870925#https://live.52sf.ga/douyu/3870925#https://liveb.52sf.ga/douyu/3870925#http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=3870925#http://maomao.kandiantv.cn/douyu1.php?id=3870925#https://665a70fc7319f11cc840c5061d857b1c.v.smtcdns.net/akm-tct.douyucdn.cn/live/3870925rg8dzfKzE.xs#http://111.19.145.160/ws-tct.douyucdn.cn/live/3870925rg8dzfKzE.xs#http://ws-tct.douyucdn.cn/live/3870925rg8dzfKzE.flv#http://0569839b6a405e409510fe01b6c23940.v.smtcdns.net/akm-tct.douyucdn.cn/live/3870925rg8dzfKzE.xs#http://akm-tct.douyucdn.cn/live/3870925rg8dzfKzE.flv#http://zzy789.xyz/douyu1.php?id=3870925#http://2.liguantun1.sinaapp.com/douyu.php?id=3870925#http://ikands.xyz/tv/douyu?id=3870925&tv_time=1651029819
斗鱼玥玥演唱会,http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=212658#http://maomao.kandiantv.cn/douyu1.php?id=212658#http://epg.112114.xyz/douyu/212658
斗鱼Bob演唱会,http://maomao.kandiantv.cn/douyu1.php?id=9610808#http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=9610808#http://epg.112114.xyz/douyu/9610808
斗鱼粤语综合,http://maomao.kandiantv.cn/douyu1.php?id=8524186#http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=8524186#http://epg.112114.xyz/douyu/8524186
斗鱼4K,http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=9249162#http://maomao.kandiantv.cn/douyu1.php?id=9249162#http://epg.112114.xyz/douyu/9249162#http://diyp.112114.xyz/douyu/9249162#http://mmitv.top/test/douyu.php?id=9249162#http://221.178.19.144/ws-tct.douyucdn.cn/live/9249162ruWuW0hAn_8000.xs#http://221.178.19.144/ws-tct.douyucdn.cn/live/9249162ruWuW0hAn_4000.xs#http://221.178.19.144/ws-tct.douyucdn.cn/live/9249162ruWuW0hAn_16000.xs
斗鱼猪仔2K60帧,http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=10416271#http://maomao.kandiantv.cn/douyu1.php?id=10416271#http://qytv.win86.top/tv/dytv.php?id=10416271#http://fangsong.live/hls/douyu.php?id=10416271
斗鱼粤语帝,http://maomao.kandiantv.cn/douyu1.php?id=252308#http://qytv.win86.top/tv/dytv.php?id=252308#http://epg.112114.xyz/douyu/252308
斗鱼Friend粤影,http://maomao.kandiantv.cn/douyu1.php?id=8603174#http://epg.112114.xyz/douyu/8603174#http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=8603174
斗鱼小野喵粤,http://maomao.kandiantv.cn/douyu1.php?id=6566671#http://qytv.win86.top/tv/dytv.php?id=6566671#http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=6566671#http://epg.112114.xyz/douyu/6566671
斗鱼粤影,http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=1226741#http://epg.112114.xyz/douyu/1226741
斗鱼ChenaJ粤影,http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=2466104#http://qytv.win86.top/tv/dytv.php?id=2466104
斗鱼话事人粤影,http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=5033502#http://epg.112114.xyz/douyu/5033502
斗鱼九月粤,http://mmitv.top/test/douyu.php?id=10338873#http://maomao.kandiantv.cn/douyu1.php?id=10338873#http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=10338873
斗鱼粤语部,http://mmitv.top/test/douyu.php?id=9701481#http://qytv.win86.top/tv/dytv.php?id=9701481
斗鱼粤语港剧,http://mmitv.top/test/douyu.php?id=6478650#http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=6478650#http://epg.112114.xyz/douyu/6478650
斗鱼豆瓣高分60帧,http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=52787#http://mmitv.top/test/douyu.php?id=52787#http://epg.112114.xyz/douyu/52787#http://maomao.kandiantv.cn/douyu1.php?id=52787
斗鱼女神金60帧,http://mmitv.top/test/douyu.php?id=747764#http://epg.112114.xyz/douyu/747764#http://zzy789.xyz/douyu1.php?id=747764#http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=747764
斗鱼Rain60帧,http://live.52sf.ga/douyu/323876#http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=323876#http://epg.112114.xyz/douyu/323876
斗鱼冰冰60帧,http://mmitv.top/test/douyu.php?id=74374#http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=74374
斗鱼港片60帧,http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=6763930#http://maomao.kandiantv.cn/douyu1.php?id=6763930
斗鱼米娅60帧,http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=6537888#http://epg.112114.xyz/douyu/6537888
